Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
35,65,55,4,0,63.63,5,run out,2,vÿPakistan,Galle,05-Jul-00,ODI # 1603
85,144,116,11,0,73.27,5,run out,1,vÿSouth Africa,Galle,06-Jul-00,ODI # 1604
36*,66,47,3,0,76.59,5,not out,2,vÿPakistan,Colombo (RPS),09-Jul-00,ODI # 1608
DNB,-,-,-,-,-,-,-,2,vÿSouth Africa,Colombo (SSC),11-Jul-00,ODI # 1610
43,62,49,2,1,87.75,5,caught,1,vÿSouth Africa,Colombo (RPS),14-Jul-00,ODI # 1614
2,5,6,0,0,33.33,5,run out,1,vÿWest Indies,Nairobi (Gym),04-Oct-00,ODI # 1631
19,44,34,2,0,55.88,5,bowled,1,vÿPakistan,Nairobi (Gym),08-Oct-00,ODI # 1634
40*,-,64,4,0,62.5,5,not out,2,vÿIndia,Sharjah,20-Oct-00,ODI # 1640
15*,-,23,2,0,65.21,5,not out,2,vÿZimbabwe,Sharjah,21-Oct-00,ODI # 1642
4,-,18,0,0,22.22,5,bowled,1,vÿZimbabwe,Sharjah,25-Oct-00,ODI # 1646
DNB,-,-,-,-,-,-,-,1,vÿIndia,Sharjah,27-Oct-00,ODI # 1650
8,-,26,0,0,30.76,5,bowled,1,vÿIndia,Sharjah,29-Oct-00,ODI # 1652
84,135,114,8,0,73.68,5,bowled,1,vÿSouth Africa,Port Elizabeth,15-Dec-00,ODI # 1661
11,27,21,1,0,52.38,5,caught,2,vÿSouth Africa,East London,17-Dec-00,ODI # 1662
16*,10,10,2,0,160,6,not out,1,vÿSouth Africa,Paarl,09-Jan-01,ODI # 1666
1,4,2,0,0,50,5,caught,2,vÿSouth Africa,Cape Town,11-Jan-01,ODI # 1668
33,77,52,3,0,63.46,7,caught,1,vÿSouth Africa,Bloemfontein,14-Jan-01,ODI # 1671
22,30,17,3,0,129.41,7,run out,1,vÿSouth Africa,Johannesburg,17-Jan-01,ODI # 1673
12,22,13,1,0,92.3,3,caught,1,vÿNew Zealand,Napier,31-Jan-01,ODI # 1680
13,39,25,1,0,52,3,caught,2,vÿNew Zealand,Wellington,03-Feb-01,ODI # 1682
13*,17,13,3,0,100,3,not out,2,vÿNew Zealand,Auckland,06-Feb-01,ODI # 1684
20,32,23,1,1,86.95,3,caught,2,vÿNew Zealand,Hamilton,08-Feb-01,ODI # 1686
1,5,5,0,0,20,4,lbw,2,vÿNew Zealand,Christchurch,11-Feb-01,ODI # 1688
1,21,15,0,0,6.66,5,caught,2,vÿEngland,Dambulla,23-Mar-01,ODI # 1694
6,17,16,0,0,37.5,5,caught,1,vÿEngland,Colombo (RPS),25-Mar-01,ODI # 1695
DNB,-,-,-,-,-,-,-,2,vÿEngland,Colombo (SSC),27-Mar-01,ODI # 1697
11,-,21,1,0,52.38,5,caught,2,vÿPakistan,Sharjah,08-Apr-01,ODI # 1704
0,-,1,0,0,0,3,caught,1,vÿNew Zealand,Sharjah,10-Apr-01,ODI # 1705
6,-,12,1,0,50,6,lbw,2,vÿNew Zealand,Sharjah,17-Apr-01,ODI # 1710
2,15,6,0,0,33.33,8,run out,1,vÿIndia,Colombo (RPS),28-Jul-01,ODI # 1740
18,49,30,1,0,60,6,bowled,2,vÿIndia,Colombo (SSC),01-Aug-01,ODI # 1742
DNB,-,-,-,-,-,-,-,2,vÿPakistan,Sharjah,27-Oct-01,ODI # 1767
35,51,50,1,0,70,6,bowled,1,vÿZimbabwe,Sharjah,30-Oct-01,ODI # 1769
0,2,3,0,0,0,6,bowled,1,vÿPakistan,Sharjah,02-Nov-01,ODI # 1771
3,19,18,0,0,16.66,6,caught,1,vÿPakistan,Sharjah,04-Nov-01,ODI # 1772
DNB,-,-,-,-,-,-,-,2,vÿZimbabwe,Colombo (SSC),08-Dec-01,ODI # 1776
27,39,31,3,0,87.09,6,caught,2,vÿWest Indies,Colombo (RPS),11-Dec-01,ODI # 1778
1,1,1,0,0,100,7,run out,1,vÿZimbabwe,Colombo (RPS),12-Dec-01,ODI # 1779
DNB,-,-,-,-,-,-,-,2,vÿWest Indies,Kandy,15-Dec-01,ODI # 1780
23,55,49,0,0,46.93,6,caught,1,vÿWest Indies,Colombo (RPS),19-Dec-01,ODI # 1782
10,-,20,1,0,50,2,bowled,1,vÿPakistan,Sharjah,08-Apr-02,ODI # 1825
23,59,41,4,0,56.09,2,caught,2,vÿNew Zealand,Sharjah,09-Apr-02,ODI # 1826
5,15,12,0,0,41.66,3,caught,1,vÿPakistan,Sharjah,12-Apr-02,ODI # 1829
50,96,64,5,1,78.12,3,caught,1,vÿNew Zealand,Sharjah,14-Apr-02,ODI # 1830
18,37,21,3,0,85.71,3,caught,2,vÿPakistan,Sharjah,17-Apr-02,ODI # 1832
22,48,28,2,0,78.57,6,caught,2,vÿEngland,Nottingham,27-Jun-02,ODI # 1847
1*,3,1,0,0,100,9,not out,1,vÿEngland,Leeds,02-Jul-02,ODI # 1850
70,108,79,8,0,88.6,3,lbw,1,vÿEngland,Manchester,07-Jul-02,ODI # 1853
66,58,47,11,1,140.42,3,stumped,2,vÿIndia,Bristol,11-Jul-02,ODI # 1855
29,33,23,6,0,126.08,3,caught,2,vÿBangladesh,Colombo (SSC),04-Aug-02,ODI # 1857
4,13,6,0,0,66.66,3,caught,2,vÿBangladesh,Colombo (SSC),05-Aug-02,ODI # 1858
22,37,32,3,0,68.75,3,bowled,1,vÿBangladesh,Colombo (RPS),07-Aug-02,ODI # 1859
38,63,53,5,0,71.69,3,caught,2,vÿPakistan,Tangier,14-Aug-02,ODI # 1861
41,60,57,5,0,71.92,3,caught,1,vÿSouth Africa,Tangier,15-Aug-02,ODI # 1862
1,15,12,0,0,8.33,3,bowled,1,vÿPakistan,Tangier,17-Aug-02,ODI # 1863
57,124,89,4,0,64.04,3,run out,2,vÿSouth Africa,Tangier,19-Aug-02,ODI # 1865
40,73,54,4,0,74.07,3,caught,1,vÿSouth Africa,Tangier,21-Aug-02,ODI # 1866
0,4,4,0,0,0,3,lbw,2,vÿPakistan,Colombo (RPS),12-Sep-02,ODI # 1874
41,86,68,5,0,60.29,3,bowled,1,vÿNetherlands,Colombo (RPS),16-Sep-02,ODI # 1878
48,85,63,8,0,76.19,3,caught,2,vÿAustralia,Colombo (RPS),27-Sep-02,ODI # 1887
54,122,89,2,0,60.67,3,caught,1,vÿIndia,Colombo (RPS),29-Sep-02,ODI # 1888
26,76,46,3,0,56.52,2,run out,1,vÿIndia,Colombo (RPS),30-Sep-02,ODI # 1889
7,31,24,1,0,29.16,4,caught,1,vÿSouth Africa,Johannesburg,27-Nov-02,ODI # 1903
10,13,10,2,0,100,3,caught,2,vÿSouth Africa,Centurion,29-Nov-02,ODI # 1905
10,31,20,1,0,50,3,caught,2,vÿSouth Africa,Benoni,01-Dec-02,ODI # 1908
1,4,4,0,0,25,3,caught,1,vÿSouth Africa,Kimberley,04-Dec-02,ODI # 1911
77*,179,115,8,1,66.95,5,not out,1,vÿSouth Africa,Bloemfontein,06-Dec-02,ODI # 1912
11,32,13,2,0,84.61,4,caught,2,vÿEngland,Brisbane,17-Dec-02,ODI # 1922
7,28,13,0,0,53.84,4,caught,2,vÿEngland,Perth,20-Dec-02,ODI # 1924
40,84,70,3,0,57.14,6,caught,2,vÿAustralia,Perth,22-Dec-02,ODI # 1925
25,26,20,2,0,125,6,caught,1,vÿAustralia,Sydney,09-Jan-03,ODI # 1931
10,20,15,0,0,66.66,5,caught,1,vÿEngland,Sydney,13-Jan-03,ODI # 1934
42*,73,42,5,0,100,6,not out,1,vÿAustralia,Brisbane,15-Jan-03,ODI # 1936
56,73,66,3,0,84.84,6,caught,2,vÿEngland,Adelaide,17-Jan-03,ODI # 1937
43,73,56,2,2,76.78,3,caught,1,vÿAustralia,Melbourne,21-Jan-03,ODI # 1939
13,22,18,0,0,72.22,6,caught,1,vÿNew Zealand,Bloemfontein,10-Feb-03,ODI # 1944
DNB,-,-,-,-,-,-,-,2,vÿBangladesh,Pietermaritzburg,14-Feb-03,ODI # 1950
4*,6,4,1,0,100,3,not out,2,vÿCanada,Paarl,19-Feb-03,ODI # 1958
5,17,13,0,0,38.46,6,caught,2,vÿKenya,Nairobi (Gym),24-Feb-03,ODI # 1965
24,29,30,2,0,80,7,caught,1,vÿWest Indies,Cape Town,28-Feb-03,ODI # 1973
6,11,8,0,0,75,7,caught,1,vÿSouth Africa,Durban,03-Mar-03,ODI # 1979
20,53,38,2,0,52.63,7,run out,2,vÿAustralia,Centurion,07-Mar-03,ODI # 1982
30,55,33,4,0,90.9,6,caught,2,vÿIndia,Johannesburg,10-Mar-03,ODI # 1985
35,32,25,4,0,140,5,caught,1,vÿZimbabwe,East London,15-Mar-03,ODI # 1989
39*,111,70,3,0,55.71,6,not out,2,vÿAustralia,Port Elizabeth,18-Mar-03,ODI # 1991
100*,140,111,9,0,90.09,4,not out,1,vÿPakistan,Sharjah,04-Apr-03,ODI # 1995
103*,137,108,9,0,95.37,4,not out,1,vÿKenya,Sharjah,06-Apr-03,ODI # 1997
25,66,50,1,0,50,4,caught,1,vÿZimbabwe,Sharjah,07-Apr-03,ODI # 1998
29,95,57,4,0,50.87,3,caught,2,vÿPakistan,Dambulla,10-May-03,ODI # 2008
1,10,7,0,0,14.28,3,hit wicket,2,vÿNew Zealand,Dambulla,13-May-03,ODI # 2010
17,73,50,1,0,34,4,caught,1,vÿPakistan,Dambulla,18-May-03,ODI # 2012
11,29,20,2,0,55,4,bowled,2,vÿNew Zealand,Dambulla,19-May-03,ODI # 2014
15,-,37,2,0,40.54,4,caught,1,vÿWest Indies,Bridgetown,07-Jun-03,ODI # 2022
31,-,56,1,0,55.35,4,caught,2,vÿWest Indies,Bridgetown,08-Jun-03,ODI # 2023
11,-,29,1,0,37.93,4,caught,1,vÿWest Indies,Kingstown,11-Jun-03,ODI # 2024
DNB,-,-,-,-,-,-,-,2,vÿEngland,Dambulla,18-Nov-03,ODI # 2063
58,129,91,3,0,63.73,4,caught,2,vÿAustralia,Dambulla,20-Feb-04,ODI # 2102
39,80,58,0,0,67.24,3,caught,1,vÿAustralia,Dambulla,22-Feb-04,ODI # 2103
15,50,30,1,0,50,3,caught,1,vÿAustralia,Colombo (RPS),25-Feb-04,ODI # 2105
101,139,110,15,0,91.81,3,caught,2,vÿAustralia,Colombo (RPS),27-Feb-04,ODI # 2106
37,76,41,7,0,90.24,3,bowled,2,vÿAustralia,Colombo (SSC),29-Feb-04,ODI # 2108
73*,115,72,8,0,101.38,3,not out,2,vÿZimbabwe,Bulawayo,20-Apr-04,ODI # 2119
DNB,-,-,-,-,-,-,-,2,vÿZimbabwe,Bulawayo,22-Apr-04,ODI # 2120
DNB,-,-,-,-,-,-,-,2,vÿZimbabwe,Harare,25-Apr-04,ODI # 2122
63,135,100,7,0,63,2,caught,1,vÿZimbabwe,Harare,27-Apr-04,ODI # 2123
17,52,40,1,0,42.5,4,lbw,1,vÿU.A.E.,Dambulla,17-Jul-04,ODI # 2146
57,82,54,3,1,105.55,4,caught,1,vÿIndia,Dambulla,18-Jul-04,ODI # 2148
14*,39,26,0,0,53.84,4,not out,2,vÿPakistan,Colombo (RPS),21-Jul-04,ODI # 2150
DNB,-,-,-,-,-,-,-,2,vÿBangladesh,Colombo (RPS),23-Jul-04,ODI # 2151
15,20,20,1,0,75,5,caught,2,vÿIndia,Colombo (RPS),27-Jul-04,ODI # 2153
53,109,82,6,0,64.63,4,bowled,1,vÿIndia,Colombo (RPS),01-Aug-04,ODI # 2155
24,39,32,0,1,75,4,caught,2,vÿSouth Africa,Colombo (RPS),20-Aug-04,ODI # 2156
63,158,83,3,0,75.9,4,run out,1,vÿSouth Africa,Colombo (RPS),22-Aug-04,ODI # 2158
14,46,24,1,0,58.33,4,stumped,2,vÿSouth Africa,Dambulla,25-Aug-04,ODI # 2160
74*,121,86,6,0,86.04,4,not out,2,vÿSouth Africa,Dambulla,28-Aug-04,ODI # 2161
72,112,71,4,1,101.4,4,caught,1,vÿSouth Africa,Colombo (SSC),31-Aug-04,ODI # 2163
28,53,40,4,0,70,5,caught,2,vÿZimbabwe,The Oval,14-Sep-04,ODI # 2173
17*,56,40,2,0,42.5,5,not out,2,vÿEngland,Southampton,17-Sep-04,ODI # 2177
38,-,52,2,0,73.07,4,bowled,1,vÿPakistan,Karachi,06-Oct-04,ODI # 2185
DNB,-,-,-,-,-,-,-,2,vÿZimbabwe,Rawalpindi,09-Oct-04,ODI # 2186
69,105,82,8,0,84.14,4,stumped,1,vÿPakistan,Lahore,14-Oct-04,ODI # 2187
68,106,69,7,0,98.55,4,bowled,1,vÿPakistan,Lahore,16-Oct-04,ODI # 2188
1,5,5,0,0,20,4,caught,1,vÿNew Zealand,Auckland,26-Dec-04,ODI # 2200
24,33,24,3,0,100,6,caught,2,vÿICC World XI,Melbourne,10-Jan-05,ODI # 2203
14,20,16,2,0,87.5,1,lbw,2,vÿIndia,Dambulla,30-Jul-05,ODI # 2262
79,131,115,9,0,68.69,3,caught,1,vÿWest Indies,Dambulla,02-Aug-05,ODI # 2264
16,39,30,3,0,53.33,3,lbw,2,vÿIndia,Dambulla,03-Aug-05,ODI # 2265
7,22,17,0,0,41.17,3,caught,2,vÿWest Indies,Colombo (RPS),06-Aug-05,ODI # 2266
8,27,12,1,0,66.66,4,caught,1,vÿIndia,Colombo (RPS),09-Aug-05,ODI # 2268
35,114,80,6,0,43.75,1,bowled,2,vÿAfrica XI,Centurion,17-Aug-05,ODI # 2269
61,97,70,9,1,87.14,3,caught,1,vÿAfrica XI,Durban,20-Aug-05,ODI # 2270
1*,9,6,0,0,16.66,3,not out,2,vÿAfrica XI,Durban,21-Aug-05,ODI # 2271
22,36,33,0,0,66.66,4,caught,1,vÿBangladesh,Colombo (SSC),31-Aug-05,ODI # 2275
28,31,24,2,0,116.66,5,caught,1,vÿBangladesh,Colombo (RPS),02-Sep-05,ODI # 2277
17*,16,14,2,0,121.42,5,not out,2,vÿBangladesh,Colombo (RPS),04-Sep-05,ODI # 2279
64,126,94,7,0,68.08,1,caught,2,vÿAustralia,Melbourne (Docklands),05-Oct-05,ODI # 2282
61,84,44,9,1,138.63,3,run out,2,vÿAustralia,Melbourne (Docklands),07-Oct-05,ODI # 2283
13,15,15,2,0,86.66,3,caught,2,vÿAustralia,Melbourne (Docklands),09-Oct-05,ODI # 2284
43,41,37,4,2,116.21,3,caught,2,vÿIndia,Nagpur,25-Oct-05,ODI # 2286
27,59,31,4,0,87.09,1,caught,1,vÿIndia,Mohali,28-Oct-05,ODI # 2287
138*,210,147,13,2,93.87,1,not out,1,vÿIndia,Jaipur,31-Oct-05,ODI # 2290
8,16,10,1,0,80,1,lbw,1,vÿIndia,Pune,03-Nov-05,ODI # 2291
39,85,69,5,0,56.52,1,caught,2,vÿIndia,Ahmedabad,06-Nov-05,ODI # 2294
9,15,13,2,0,69.23,3,caught,1,vÿIndia,Rajkot,09-Nov-05,ODI # 2295
32,101,58,4,0,55.17,3,caught,1,vÿIndia,Vadodara,12-Nov-05,ODI # 2296
0,6,6,0,0,0,3,caught,1,vÿNew Zealand,Queenstown,31-Dec-05,ODI # 2309
36,89,57,4,0,63.15,3,run out,1,vÿNew Zealand,Christchurch,03-Jan-06,ODI # 2310
52,49,46,9,0,113.04,3,bowled,2,vÿNew Zealand,Wellington,06-Jan-06,ODI # 2311
58,118,79,7,0,73.41,3,caught,1,vÿNew Zealand,Napier,08-Jan-06,ODI # 2312
16,35,31,2,0,51.61,4,caught,2,vÿAustralia,Melbourne (Docklands),13-Jan-06,ODI # 2313
88,145,109,10,0,80.73,3,caught,1,vÿSouth Africa,Brisbane,17-Jan-06,ODI # 2315
78,132,95,7,0,82.1,3,caught,1,vÿAustralia,Sydney,22-Jan-06,ODI # 2317
23,41,31,4,0,74.19,3,caught,2,vÿSouth Africa,Adelaide,24-Jan-06,ODI # 2318
25,46,37,1,1,67.56,3,bowled,1,vÿAustralia,Adelaide,26-Jan-06,ODI # 2319
